No,ID,name,address,same address as evac site,comments,eligible_people,latitude,longitude,remarks
1,E1322800002111,増戸小学校体育館,東京都あきる野市伊奈1173,1,,,35.72750545,139.2480071,
2,E1322800003111,増戸中学校体育館,東京都あきる野市伊奈1181,1,,,35.72798723,139.2504071,
3,E1322800005111,五日市ファインプラザ,東京都あきる野市伊奈859-3,1,,,35.72931313,139.2554061,
4,E1322800008111,一の谷小学校体育館,東京都あきる野市引田980,1,,,35.72072812,139.2723702,
5,E1322800011111,南秋留小学校体育館,東京都あきる野市雨間810,1,,,35.72077358,139.2934681,
6,E1322800013111,小宮ふるさと自然体験学校体育館,東京都あきる野市乙津1984,1,,,35.73413571,139.1833492,
7,E1322800013112,小宮ふるさと自然体験学校２・３Ｆ,東京都あきる野市乙津1984,1,,,35.72340375,139.1794573,
8,E1322800015111,ふるさと工房五日市,東京都あきる野市乙津671,1,,,35.73421684,139.1840185,
9,E1322800019111,戸倉しろやまテラス体育館,東京都あきる野市戸倉325,1,,,35.7255422,139.2039405,
10,E1322800021111,五日市小学校体育館,東京都あきる野市五日市315,1,,,35.73153504,139.2229722,
11,E1322800022111,五日市中学校体育館,東京都あきる野市五日市400,1,,,35.73087832,139.2215601,
12,E1322800023111,五日市地域交流センター,東京都あきる野市五日市411,1,,,35.72939404,139.2199667,
13,E1322800024111,五日市会館,東京都あきる野市五日市412,1,,,35.72978604,139.2201453,
14,E1322800027111,あきる野ルピア３・４Ｆ,東京都あきる野市秋川1-8,1,,,35.72993295,139.2871015,
15,E1322800031111,西中学校体育館,東京都あきる野市上代継190,1,,,35.73007358,139.2771769,
16,E1322800032111,西秋留小学校体育館,東京都あきる野市上代継292,1,,,35.72311777,139.2773229,
17,E1322800039111,多西小学校体育館,東京都あきる野市草花2885,1,,,35.7422314,139.2993332,
18,E1322800040111,草花小学校体育館,東京都あきる野市草花3130,1,,,35.73686441,139.3062028,
19,E1322800041111,御堂中学校体育館,東京都あきる野市草花3322,1,,,35.74093568,139.2963461,
20,E1322800044111,秋多中学校体育館,東京都あきる野市二宮334,1,,,35.73090546,139.2934672,
21,E1322800046112,秋川体育館,東京都あきる野市二宮683,1,,,35.73017814,139.3023001,
22,E1322800046111,中央公民館,東京都あきる野市二宮683,1,,,35.73020132,139.3026594,
23,E1322800048111,屋城小学校体育館,東京都あきる野市二宮東1-12-1,1,,,35.72441425,139.3233184,
24,E1322800051111,東中学校体育館,東京都あきる野市平沢200,1,,,35.73274474,139.302522,
25,E1322800053111,東秋留小学校体育館,東京都あきる野市野辺1123,1,,,35.72437416,139.3063925,
26,E1322800055111,前田小学校体育館,東京都あきる野市野辺92,1,,,35.7237342,139.3138362,
27,E1322500001111,稲城第四小学校,東京都稲城市押立1250,1,,,35.644674,139.516419,
28,E1322500002111,稲城第四中学校,東京都稲城市押立1768,1,,,35.645845,139.517966,
29,E1322500003111,押立ふれあい会館,東京都稲城市押立663,,,,35.649732,139.511134,
30,E1322500004111,稲城第五中学校,東京都稲城市向陽台3-1-1,1,,,35.638456,139.489393,
31,E1322500005111,向陽台小学校,東京都稲城市向陽台3-2,1,,,35.637453,139.488178,
32,E1322500008111,城山小学校,東京都稲城市向陽台6-17,1,,,35.642688,139.493325,
33,E1322500009111,城山文化センター,東京都稲城市向陽台6-7,,,,35.641385,139.490804,
34,E1322500048112,稲城第二中学校,東京都稲城市坂浜5-1-1,1,,,35.615996,139.481155,
35,E1322500012111,稲城第二小学校,東京都稲城市坂浜590,1,,,35.62492,139.485466,
36,E1322500013111,坂浜コミュニティ防災センター,東京都稲城市坂浜974,,,,35.624776,139.485983,
37,E1322500015111,稲城第六中学校,東京都稲城市若葉台3-11,1,,,35.624606,139.467591,
38,E1322500016111,若葉台小学校,東京都稲城市若葉台4-5,1,,,35.626887,139.468118,
39,E1322500017111,稲城第三小学校,東京都稲城市大丸100,1,,,35.643244,139.499778,
40,E1322500019111,稲城第六小学校,東京都稲城市大丸2110,1,,,35.649701,139.49934,
41,E1322500021111,大丸地区会館,東京都稲城市大丸251,,,,35.647317,139.498773,
42,E1322500024111,総合体育館,東京都稲城市長峰1-1,1,,,35.631644,139.485916,
43,E1322500025111,長峰コミュニティ防災センター,東京都稲城市長峰2-31-1,,,,35.628419,139.478465,
44,E1322500026111,長峰小学校,東京都稲城市長峰2-8,1,,,35.62971,139.483044,
45,E1322500028111,中央文化センター,東京都稲城市東長沼2111,,,,35.638077,139.503737,
46,E1322500030111,第四文化センター,東京都稲城市東長沼271,,,,35.645912,139.505383,
47,E1322500032111,稲城第一小学校,東京都稲城市東長沼956,1,,,35.640688,139.511839,
48,E1322500033111,百村コミュニティ防災センター,東京都稲城市百村2017,,,,35.638499,139.497432,
49,E1322500034111,稲城第一中学校,東京都稲城市百村23,1,,,35.640391,139.499365,
50,E1322500035111,第三文化センター,東京都稲城市平尾1-20-5,,,,35.613134,139.492481,
51,E1322500036111,複合施設ふれんど平尾,東京都稲城市平尾1-9-1,1,,,35.613755,139.492561,
52,E1322500037111,平尾小学校,東京都稲城市平尾3-1-3,1,,,35.611219,139.488674,
53,E1322500040111,第二文化センター,東京都稲城市矢野口1780,,,,35.635238,139.518428,
54,E1322500041111,松葉集会所,東京都稲城市矢野口1892,,,,35.636515,139.520541,
55,E1322500042111,稲城第七小学校,東京都稲城市矢野口1901-2,1,,,35.635361,139.520387,
56,E1322500043111,矢野口コミュニティ防災センター,東京都稲城市矢野口2271-1,,,,35.63365,139.515882,
57,E1322500045111,稲城第三中学校,東京都稲城市矢野口3043,1,,,35.636549,139.507521,
58,E1322500046111,南山小学校,東京都稲城市矢野口3635,1,,,35.628985,139.508348,
59,E1322500047111,公益社団法人九段盡性園,東京都稲城市矢野口3750-11,1,,,35.643939,139.520848,
60,E1322700001111,松林小学校,東京都羽村市羽4122-2,1,,,35.76802926,139.330168,
61,E1322700002111,羽村西小学校,東京都羽村市羽加美4-2-9,1,,,35.76517336,139.3000748,
62,E1322700003111,羽村第一中学校,東京都羽村市羽中3-6-33,1,,,35.76174541,139.3071572,
63,E1322700004111,羽村東小学校,東京都羽村市羽東2-18-1,1,,,35.75449342,139.3131498,
64,E1322700005111,栄小学校,東京都羽村市栄町2-17,1,,,35.77186237,139.3123286,
65,E1322700007111,富士見小学校,東京都羽村市五ノ神4-9-5,1,,,35.76224928,139.3175022,
66,E1322700008111,小作台小学校,東京都羽村市小作台4-13-1,1,,,35.77351271,139.2987153,
67,E1322700010111,武蔵野小学校,東京都羽村市川崎693-1,1,,,35.76098061,139.3324935,
68,E1322700011111,羽村第三中学校,東京都羽村市川崎697-1,1,,,35.76143129,139.3342126,
69,E1322700012111,羽村第二中学校,東京都羽村市富士見平1-16,1,,,35.76487769,139.3248875,
70,E1312200001111,双葉中学校,東京都葛飾区お花茶屋1-10-1,,,,35.750289,139.838121,
71,E1312200002111,南奥戸小学校,東京都葛飾区奥戸3-5-1,,,,35.731661,139.860331,
72,E1312200003111,上小松小学校,東京都葛飾区奥戸4-1-4,,,,35.728105,139.862638,
73,E1312200004111,奥戸小学校,東京都葛飾区奥戸8-20-17,,,,35.739023,139.865428,
74,E1312200006111,旧明石小学校,東京都葛飾区鎌倉2-12-1,,,,35.747822,139.874792,
75,E1312200007111,鎌倉小学校,東京都葛飾区鎌倉4-24-1,,,,35.747007,139.882342,
76,E1312200010111,亀有中学校,東京都葛飾区亀有1-23-1,,,,35.760077,139.847221,
77,E1312200011111,道上小学校,東京都葛飾区亀有4-35-1,,,,35.763867,139.84513,
78,E1312200012111,中之台小学校,東京都葛飾区亀有5-2-1,,,,35.766368,139.843159,
79,E1312200013111,柴原小学校,東京都葛飾区金町1-15-1,,,,35.762852,139.867031,
80,E1312200014111,常盤中学校,東京都葛飾区金町2-11-1,,,,35.76315,139.870471,
81,E1312200015111,金町小学校,東京都葛飾区金町3-44-1,,,,35.766555,139.877397,
